label,no_url
2,promo beli paket flash mulai 1gb telkomsel app dapat ekstra kuota 2gb 4g lte ekstra menelpon hingga 100mnt 1hr buruan cek tsel mytsel1 si k
2,2 5 gb 30 hari hanya rupiah 35 ribu spesial buat terpilih aktifkan sekarang juga 550 905 promo sekolah dasar 30 november 2015 buruan aktifkan sekarang si k
2,2016 07 08 11 47 11 pulang terhormat sisa kuota flash 478kb unduh mytelkomsel apps hypertext transfer protocol tsel tsel untuk cek kuota beli paket flash atau hubung 363
2,2016 08 07 11 29 47 pulang terhormat sisa kuota flash 7160kb unduh mytelkomsel apps hypertext transfer protocol tsel tsel untuk cek kuota beli paket flash atau hubung 363
2,4 5gb 30 hari hanya rupiah 55 ribu spesial buat terpilih aktifkan sekarang juga 550 907 buruan skb
2,5 hari lagi ekstra pulsa lima puluh ribu dengan beli paket internet bulanan mytelkomsel untuk pembelian pertama sejak 25aug 25sept cek detail promo tsel mytsel1
2,ada iring dengan tarif rupiah 0 1 7hr perpanjangan rupiah 3190 7hr hit armada pencuri hati tekan 808 3 1 4 1 lalu oke call 100 111
2,akhir bulan harus tetap eksis lah internetan pakai volume ultima 900mb 30hr hrga mulai rupiah 35rb 100 471 tarif lokasi cek tsel fl
2,aktifkan iring coboy junior terhebat tekan 808 7 100 111 ada hit terbaru noah jika engkau aktifkan iring nya handphone kamu ketik mg noah02 kirim 808 100 111 berkah iring rupiah 1000 yuni shara akhirnya aktifkan iring nya tkn 808 1 2 3 lalu oke call raih tunjangan hari raya puluhanjt berhenti unreg 808
2,ambil bonus harianmu 600 bebas pulsa dapatkan gratis menelpon atau internetan promo lainnya sesuai hobimu
2,akan berhenti berlangganan paket flash ketik flash spasi ya jika setuju tunggu sm konfirmasi penonaktifan paket
2,akan berlangganan paket rupiah 10000 untuk 150 mb 2g 3g 250 mb 3g 90hari jika setuju balas flash spasi ya kirim 3636 untuk melanjutkan paket diperpanjang pada akhir masa aktif dengan tarif sesuai lokasi tunggu sm konfirmasi sebelum pemakaian zona detail tarif lihat tsel internet
2,akan membeli paket gampang internetan rupiah 1250 untuk chat sepuasnya bahan bakar minyak whatsapp line 1 hari jika setuju balas flash spasi ya kirim 3636 untuk melanjutkan tunggu sm konfirmasi sebelum pemakaian detail tarif lihat tsel internet
2,akan menerima set ponsel agar ponsel dapat mengakses internet berkirim foto mm jika setuju balas pesan ini gratis dengan ketik iya
